src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
185.40.232.170,192.168.29.189,443,57809,IP,0.36678290367126465,8,6382,139199.50872562968,797.75,0,2974,0.0,0.05239755766732352,0.08206444630635897,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.12665486335754395,8,3068,193786.47885563478,383.5,0,1285,0.0,0.018093551908220564,0.0379379726990108,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0001659393310546875,8,10336,498302599.3563218,1292.0,0,1292,0.0,2.3705618722098215e-05,9.169362946464622e-06,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.003428936004638672,8,10336,24114769.096926715,1292.0,0,1292,0.0,0.0004898480006626674,0.0011044877281528123,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.018420934677124023,8,5831,2532336.2151612025,728.875,0,1494,0.0,0.0026315620967320035,0.002857652997978915,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.03253006935119629,8,878,215923.3023504665,109.75,0,400,0.0,0.0046471527644566125,0.004221349599908928,1.0,HTTPS
185.40.232.170,192.168.29.189,443,57809,IP,0.16426801681518555,8,2704,131687.22931827747,338.0,0,873,0.0,0.023466859545026506,0.05493349270425356,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.06513690948486328,8,2394,294026.8451706417,299.25,0,1494,0.0,0.009305272783551897,0.009892013060724606,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.022791147232055664,8,3943,1384046.168401452,492.875,0,1494,0.0,0.003255878176007952,0.006391991749834743,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.02922201156616211,8,3966,1085756.876393127,495.75,0,1494,0.0,0.004174573080880302,0.007175808730697246,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.06681394577026367,8,784,93872.61787480641,98.0,0,206,0.0,0.009544849395751953,0.014923129405373627,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.030081987380981445,8,6668,1773287.0945130892,833.5,0,1292,0.0,0.004297426768711635,0.005057792731860862,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.022537946701049805,8,3533,1254062.7757666798,441.625,0,1494,0.0,0.0032197066715785433,0.00360990672055335,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.043380022048950195,8,5842,1077362.292422602,730.25,0,1494,0.0,0.006197146006992885,0.009216168021751143,1.0,HTTPS
192.168.29.1,224.0.0.1,0,0,IP,0.0,1,50,0.0,50.0,0,50,0.0,0.0,0.0,1.0,UNKNOWN
